,web-scraper-order,web-scraper-start-url,pagination,pagination-href,price,kunstenaar,beschrijving,image-src,url,detail_page,detail_page-href,height_painting_cm,width_painting_cm,condition,technique,signed,framed,height_frame_cm,width_frame_cm,period,style,subject,name,file_path
10,1607961669-5489,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",349,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=4176&q=filter&limit=12&status=sold&sort=enddate,d",1200.0,Jan Engelchor (1920-1976),"JAN ENGELCHORNAAKT IP DE RUG GEZIENOLIEVERF  SCHILDERIJ OP LINNEN  IN DE MAAT 67 X 117 CMECHTHEIDS CERTIFICAAT DOOR DE ZOON VAN JAN ENGELCHORGEKADERD IN OUDE LIJST MET GLAS  IN DE MAAT 90  X 140 CMLET OP!!!!!!!!ALLEEN AFHALEN IN V MET GROOTTEZEER GOEDE STAATAUTHENTICITEIT VOLLEDIG GEGARANDEERDGarantie:
In principe heeft u bij alle aankopen 3 weken garantie op de echtheid, conditie en correctheid van de omschrijving. De verkoper kan hier zelf op positieve (langere garantie) of negatieve manier (geen garantie omdat de verkoper het werk niet kan garanderen) van afwijken. De verkoper moet dit dan echter duidelijk en onomstreden in de omschrijving van het item opnemen. De verzendkosten vallen standaard niet onder de garantie en zijn voor uw eigen risico.",https://images.kunstveiling.nl/tmp-635d74d0d60557384a53b1754ab59ae2-blob_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/naakt-op-de-rug-gezien/235790"",",Bekijk item,https://www.kunstveiling.nl/items/jan-engelchor-naakt-op-de-rug-gezien/235790,114.0,67.0,Zeer Goed,Olieverf,Ongesigneerd,Ingelijst,140.0,90.0,1945 t/m 1999,Realistisch,Naakt,Jan Engelchor - naakt op de rug gezien,..\data\0010.png
11,1607959417-4512,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",239,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=2856&q=filter&limit=12&status=sold&sort=enddate,d",120.0,Johannes Eerdmans (1950),"Zeer mooi schilderijtje van Johannes Eerdmans in prachtige lijst.
Het geheel verkeert in zeer goede staat.",https://images.kunstveiling.nl/tmp-131f67d134fffc06effe88da06bc32e2-johannes-eerdmans_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/prachtig-gesigneerd-stilleven-in-de-originele-lijst/266355"",",Bekijk item,https://www.kunstveiling.nl/items/johannes-eerdmans-prachtig-gesigneerd-stilleven-in-de-originele-lijst/266355,23.0,17.0,Zeer Goed,Olieverf,Handgesigneerd,Ingelijst,34.0,28.0,1945 t/m 1999,Klassiek,Stilleven,Johannes Eerdmans - Prachtig gesigneerd stilleven in de originele lijst.,..\data\0011.png
12,1607969200-8774,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",8,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=84&q=filter&limit=12&status=sold&sort=enddate,d",450.0,Jan Bevort (1917-1996),"A8224, John Bevort, Havengezicht met zeilschepen, olie op doek, linksonder gesigneerd, doekmaat: 100 x 90 cm, lijstmaat: 116,5 x 106,5 cm.


Dit werk is op te halen op onze locatie in Nieuwersluis. 
Voor verzendingen zijn we afhankelijk van koeriers.
Voor meer informatie over de conditie van dit werk kunt u contact met ons opnemen.",https://images.kunstveiling.nl/tmp-d1552aab68d39f8b71199390c743f749-jan-bevort_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/a8224-havengezicht-met-zeilschepen/327862"",",Bekijk item,https://www.kunstveiling.nl/items/jan-bevort-a8224-havengezicht-met-zeilschepen/327862,100.0,90.0,Redelijk,Olieverf,Handgesigneerd,Ingelijst,116.0,106.0,1945 t/m 1999,Impressionistisch,Havengezicht,"Jan Bevort - A8224, Havengezicht met zeilschepen",..\data\0012.png
13,1607969166-8759,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",9,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=96&q=filter&limit=12&status=sold&sort=enddate,d",150.0,George Frederik Teyssen (1873-1955),"C4856-1, G.F. Teyssen, Heidegezicht,  olie op doek, doekmaat 40 x 50 cm, lijstmaat 53 x 63 cm, linksonder gesigneerd.


Dit werk is op te halen op onze locatie in Nieuwersluis. 
Voor verzendingen zijn we afhankelijk van koeriers.
Voor meer informatie over de conditie van dit werk kunt u contact met ons opnemen.",https://images.kunstveiling.nl/tmp-fb88dc8c2dfe1839d9a5b84579d36a8f-george-frederik-teyssen_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/c4856-1-heidegezicht/319807"",",Bekijk item,https://www.kunstveiling.nl/items/george-frederik-teyssen-c4856-1-heidegezicht/319807,40.0,50.0,Redelijk,Olieverf,Handgesigneerd,Ingelijst,53.0,63.0,1900 t/m 1944,Impressionistisch,Landschap,"George Frederik Teyssen - C4856-1, Heidegezicht",..\data\0013.png
14,1607954719-2474,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",33,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=384&q=filter&limit=12&status=sold&sort=enddate,d",199.0,Matthieu Wiegman (1886-1971),"Gouache op paneel van Bergense School schilder Matthieu Wiegman. Religieuze voorstelling. Rechtsonder gesigneerd en getiteld. Werk in zeer goede staat, lijst heeft enkele kleine beschadigingen. Mooi, groot, typisch Matthieu Wiegman., die deze voorstelling ook als tekening heeft gemaakt, maar dan met een kindje op schoot.",https://images.kunstveiling.nl/tmp-1a7fcca71ce560f8c8541da11f3b6a02-matthieu-wiegman_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/opstanding/320330"",",Bekijk item,https://www.kunstveiling.nl/items/matthieu-wiegman-opstanding/320330,73.0,52.0,Zeer Goed,Gouache,Handgesigneerd,Ingelijst,100.0,75.0,1945 t/m 1999,Expressionistisch,Religieus,Matthieu Wiegman - Opstanding,..\data\0014.png
15,1607954247-2269,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",95,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=1128&q=filter&limit=12&status=sold&sort=enddate,d",450.0,Carel van Ettinger (1916-1996),"Carel van Ettinger, maroufle, Den Haag, Papestraat, r.o. gesigneerd, beeldmaat 60 x 81 cm, lijstmaat 73x94. Origineel aankoopbewijs uit 1965 aanwezig.



Dit werk is op te halen op onze locatie in Nieuwersluis. 
Voor verzendingen zijn we afhankelijk van koeriers.
Voor meer informatie over de conditie van dit werk kunt u contact met ons opnemen.",https://images.kunstveiling.nl/tmp-ca84827cc11ebfdbc6147b0981cdccc0-carel-van-ettinger_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/c3818-den-haag-papestraat/268281"",",Bekijk item,https://www.kunstveiling.nl/items/carel-van-ettinger-c3818-den-haag-papestraat/268281,60.0,81.0,Redelijk,Olieverf,Handgesigneerd,Ingelijst,73.0,94.0,1945 t/m 1999,Impressionistisch,Stadsgezicht,"Carel van Ettinger - C3818 - Den Haag, Papestraat",..\data\0015.png
16,1607954996-2595,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",15,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=168&q=filter&limit=12&status=sold&sort=enddate,d",220.0,Frederic Benrath (1930-2007),zeer abstract werk in typische stijl,https://images.kunstveiling.nl/tmp-5a3e1c7e22dd17b43a1a15e88ba73676-frederic-benrath_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/abstracte-kunst/321545"",",Bekijk item,https://www.kunstveiling.nl/items/frederic-benrath-abstracte-kunst/321545,59.0,49.0,Zeer Goed,Olieverf,Handgesigneerd,Ingelijst,59.0,49.0,1945 t/m 1999,Abstract,Abstract,Frederic Benrath - abstracte kunst,..\data\0016.png
17,1607953673-2019,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",166,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=1980&q=filter&limit=12&status=sold&sort=enddate,d",120.0,Adriaan Keus (1875-1955),"De schilder Adriaan Keus was oorspronkelijk voorbestemd voor een ander 
vak: hij studeerde botanie in Londen. Daarna ontwikkelde hij zich in 
Nederland geleidelijk aan tot schilder en tekenaar van landschappen. 
Daarvoor bezocht hij van 1896 tot 1899 de academie in Den Haag, waar hij
 vervolgens werd opgenomen in de kring kunstenaars rond Pulchri Studio. 
In 1911 verhuisde de schilder naar het Veluwse Putten en in 1920 naar 
Soest, waar hij tot zijn dood zou blijven wonen en werken. Zijn oeuvre 
omvat voornamelijk zomerlandschappen, bosgezichten, polders, 
bollenvelden en boerenwoningen in hun landelijke omgeving.",https://images.kunstveiling.nl/tmp-5a9fad9e9645f0c4d8238c03c28d5aaf-adriaan-keus_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/soesterduinen-olie-op-doek-gesigneerd-lo/284734"",",Bekijk item,https://www.kunstveiling.nl/items/adriaan-keus-soesterduinen-olie-op-doek-gesigneerd-lo/284734,50.0,100.0,Goed,Olieverf,Handgesigneerd,Ingelijst,60.0,110.0,1900 t/m 1944,Klassiek,Landschap,"Adriaan Keus - Soesterduinen - olie op doek, gesigneerd l.o.",..\data\0017.png
18,1607954429-2347,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",68,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=804&q=filter&limit=12&status=sold&sort=enddate,d",1600.0,Marli Hommel (1957),"C1342
Marli Hommel
Buitenmaat: 144 x 94
Doekmaat: 140 x 90
Portret Paard
l.o. monogram, jaartal 2004
Staat: nieuwstaat
Lijst: in prima staat",https://images.kunstveiling.nl/tmp-dbb0f9c3e2b8d6b20700d5e23920570b-blob_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/portret-paard/232727"",",Bekijk item,https://www.kunstveiling.nl/items/marli-hommel-portret-paard/232727,140.0,90.0,Nieuwstaat,Olieverf,Handgesigneerd,Ingelijst,144.0,94.0,2000 t/m Heden,Realistisch,Dieren,Marli Hommel - portret paard,..\data\0018.png
19,1607961857-5571,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",366,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=4380&q=filter&limit=12&status=sold&sort=enddate,d",120.0,Theo van der Biezen,"32x39 cm (incl. lijst)





Olieverf op doek op paneel. 


Gelijst in originele lijst. 


In heel goede staat en rechtsonder gesigneerd.





Authenticiteit volledig gegarandeerd",https://images.kunstveiling.nl/tmp-1e0372fc96cf769fa1063b7f07f48f64-blob_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/1915-1986-nulandse-heide-bij-oss/221330"",",Bekijk item,https://www.kunstveiling.nl/items/theo-van-der-biezen-1915-1986-nulandse-heide-bij-oss/221330,27.0,34.0,Nieuwstaat,Olieverf,Handgesigneerd,Ingelijst,32.0,39.0,1900 t/m 1944,Impressionistisch,Landschap,Theo van der Biezen - (1915-1986) Nulandse heide bij Oss,..\data\0019.png
20,1607961804-5548,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",356,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=4260&q=filter&limit=12&status=sold&sort=enddate,d",250.0,Carl August Streefkerk (1884-1968),"Fraai geschilderd havengezicht van boten, zeilschepen, sleepboot en figuren/havenwerkers aan 't werk op de kade.Streefkerk was een schilder van landschappen, stillevens en vooral Amsterdamse stadsgezichten.Streefkerk werd op 29-05-1884 in Amsterdam geboren. In deze stad bezocht hij de avondtekenschool o.l.v. J. Walraven.Behalve in Amsterdam woonde en werkte Streefkerk in Amstelveen, Enschede, Naarden en Bussum. Hier overleed hij op 22-08-1968 ( bron: lexicon Pieter A. Scheen).Kleurrijk geschilderd in olieverf op doek en gesigneerd links onder, in een mooie bijpassende lijst.
Het geheel wordt zorgvuldig verpakt, aangetekende verzending met Track&Trace.
Verzendkosten: Nederland €25,- ; overige landen binnen EU : € 50,- ; geen verzending naar landen buiten EU mogelijk",https://images.kunstveiling.nl/tmp-aa955b2c876dcdd782ce33f24dacd689-blob_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/havengezicht-t-ij-amsterdam-olieverf-op-doek-gesigneerd-lo/232893"",",Bekijk item,https://www.kunstveiling.nl/items/carl-august-streefkerk-havengezicht-t-ij-amsterdam-olieverf-op-doek-gesigneerd-lo/232893,60.0,80.0,Goed,Olieverf,Handgesigneerd,Ingelijst,70.0,90.0,1900 t/m 1944,Klassiek,Havengezicht,Carl August Streefkerk - Havengezicht - 't IJ - Amsterdam - Olieverf op doek - Gesigneerd l.o.,..\data\0020.png
21,1607957681-3759,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",146,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=1740&q=filter&limit=12&status=sold&sort=enddate,d",150.0,Hans van Ieperen (1909-1995),"In goede staat verkerend schilderij van Hans van Ieperen.

Herkomst: Veiling Haagse kunst (Glerum/AAG), 9 december 2003, kavel 286

Koper krijgt veilingcatalogus erbij",https://images.kunstveiling.nl/tmp-2d343a792c20b3f5adb66a50e20da210-hans-van-ieperen_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/boerderij/285732"",",Bekijk item,https://www.kunstveiling.nl/items/hans-van-ieperen-boerderij/285732,62.0,75.0,Goed,Olieverf,Handgesigneerd,Ingelijst,73.0,86.0,1900 t/m 1944,Expressionistisch,Landschap,Hans van Ieperen - Boerderij,..\data\0021.png
22,1607958348-4049,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",182,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=2172&q=filter&limit=12&status=sold&sort=enddate,d",395.0,Maurice Sijs (1880-1972),"Werken van deze schilder zijn zeer geliefd en worden zelden aangeboden.
Zie voor meer informatie de tekst op de achterzijde van het schilderij.

In prima staat.",https://images.kunstveiling.nl/tmp-96be381202112c8c87e451d12d347d92-maurice-sijs_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/zicht-op-veere-zeeland/281615"",",Bekijk item,https://www.kunstveiling.nl/items/maurice-sijs-zicht-op-veere-zeeland/281615,30.0,21.0,Zeer Goed,Olieverf,Handgesigneerd,Ingelijst,38.0,29.0,1900 t/m 1944,Impressionistisch,Havengezicht,Maurice Sijs - Zicht op Veere (Zeeland).,..\data\0022.png
23,1607956307-3164,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",87,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=1032&q=filter&limit=12&status=sold&sort=enddate,d",200.0,Sipke Kool (1836-1902),"4714, Sipke Kool, vrouw achter weefgetouw, olie op paneel, r.o. gesigneerd, paneelmaat 30,5x38,5 cm, lijstmaat 50x58 cm.


Dit werk is op te halen op onze locatie in Nieuwersluis. 
Voor verzendingen zijn we afhankelijk van koeriers.
Voor meer informatie over de conditie van dit werk kunt u contact met ons opnemen.",https://images.kunstveiling.nl/tmp-82c6380b5731807e58609c579336ab78-sipke-kool_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/4714-vrouw-achter-weefgetouw/293489"",",Bekijk item,https://www.kunstveiling.nl/items/sipke-kool-4714-vrouw-achter-weefgetouw/293489,30.0,38.0,Redelijk,Olieverf,Handgesigneerd,Ingelijst,50.0,58.0,1800 t/m 1899 (19e Eeuw),Realistisch,Figuren,Sipke Kool - 4714 - Vrouw achter weefgetouw,..\data\0023.png
24,1607954905-2555,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000",11,"https://www.kunstveiling.nl/veilingopbrengsten/lijst?type=painting&price=101,50000&offset=120&q=filter&limit=12&status=sold&sort=enddate,d",165.0,Ton Etman,Fraai werk van Ton Etman. De kunstenaar heeft het werk rechtsonder handgesigneerd. Het werk is zonder glasplaat ingelijst.,https://images.kunstveiling.nl/tmp-3eae70c446dc388f5a95057a1240aef0-ton-etman_d2600.jpeg,"""url"": ""https://www.kunstveiling.nl/items/naakten-groot/317061"",",Bekijk item,https://www.kunstveiling.nl/items/ton-etman-naakten-groot/317061,70.0,100.0,Goed,Gemengde Techniek,Handgesigneerd,Ingelijst,80.0,112.0,1945 t/m 1999,Modern,Naakt,Ton Etman - Naakten (Groot),..\data\0024.png
